title	ingredients	recipe
김치 비빔 국수	"['신김치', '중면', '오이', '깨', '고추장', '식초', '올리고당', '간장', '설탕', '맛술', '참기름', '후추']"	"오이는 가늘게 채 썰고 김치는 굵게 다져주세요.볼에 다진 김치와 양념재료를 넣고 섞어주세요.끓는 물에 중면을 펼쳐 넣고 면끼리 달라붓지 않도록 저어주세요. 물이 끓어오르면 찬물을 2~3회 반복해서 부어 국수를 삶아주세요. 흐르는 찬물에 중면을 여러 번 씻어 전분기를 없애고 체반에 밭쳐 물기를 빼주세요.양념장에 삶은 국수를 넣고 버무려주세요.접시에 비빔국수를 담고 삶은 달걀과 오이채, 깨를 올려주세요."
오버나이트 오트밀	"['오트밀', '두유', '아몬드', '치아씨드', '시나몬 파우더', '꿀', '블루베리', '산딸기', '개인 기호에 따른 과일']"	"유리병에 압착 귀리(오트밀) 5큰술과 두유 100ml를 담아 뚜껑을 닫은 후 냉장고에 넣어주세요.아침 식사로 먹기 전 아몬드, 블루베리, 산딸기 등 기호에 맞는 견과류와 과일을 넣어주세요.치아씨드, 시나몬 가루, 꿀을 곁들여 완성해 주세요."
템페 구이 & 퀴노아 샐러드 밀프렙	"['템페', '간장', '식초', '메이플 시럽', '올리브오일', '파프리카 파우더', '소금', '후추']"	"템페를 적당한 크기로 썬 후 찜기에 올려 7분간 쪄 주세요. 
(tip. 템페를 굽기 전에 찌면 특유의 쓴맛이 제거되고 양념이 잘 흡수된답니다)볼에 템페 양념 재료를 섞어주세요. 찜기에서 꺼낸 템페를 양념과 골고루 섞고 30분 정도 재워 주세요.오븐 팬에 양념된 템페를 잘 펼친 후 남은 소스를 표면에 발라주세요. 예열된 오븐에서 190도로 25분 정도 더 구워주세요. 
(tip. 오븐의 성능에 따라 시간이 다를 수 있으니 중간에 체크해 주세요.)물에 헹군 퀴노아를 냄비에 담고 생수 2컵을 부어 중불에서 15분간 끓여주세요. 
(tip. 퀴노아의 양을 조절할 경우 두 배 분량의 물을 넣고 끓여 주세요. 중간중간 잘 저어준 후 퀴노아에 물기가 모두 흡수되어 사라지면 불을 끄고 뚜껑을 닫아 10분 정도 뜸을 들여 완성해 주세요.)방울토마토는 반으로 자르고 고수는 잘게 썰어주세요. 루꼴라는 흐르는 물에 잘 씻어 준비해 주세요.볼에 퀴노아와 삶은 병아리콩, 고수를 담고 드레싱 재료를 넣어 골고루 섞어 주세요. 
(tip. 병아리콩은 캔을 사용하시거나 6시간 정도 불린 후 15분간 삶아 사용해 주세요. 기호에 따라 드레싱의 양을 조절해 만들어 주세요)완성된 퀴노아 샐러드와 템페 구이를 방울토마토, 루꼴라와 함께 밀폐용기에 담아주세요. 총 4회분으로 나누어 담은 샐러드는 반드시 냉장보관 후, 4일 내에 섭취해 주세요.
(tip. 당근 라페와 함께 곁들이면 더 맛있게 즐겨보세요)"
반려견 케이크	"['계란', '쌀가루 분말', '코코넛오일', '락토프리 우유', '꿀', '찐 단호박', '두부', '락토프리 우유', '락토프리 우유 여유분', '식초', '꿀', '천연 분말', '블루베리', '단호박']"	"두부를 차가운 물에 30분 이상 담근 후, 끓는 물에 5분 정도 데쳐 염분을 완전히 제거해 주세요. 데친 두부를 면포로 꾹 짜서 수분을 제거해 주세요.락토프리 우유를 냄비에 넣고 저어가며 약불에서 끓여주세요. 우유가 끓기 시작하면 불을 끄고 식초를 넣어 잘 섞어주세요. 덩어리가 생기고 테두리 부분에 맑은 물이 생기면 면포에 걸러 코티지치즈를 완성해 주세요.볼에 두부와 코티지치즈를 담고 락토프리 우유 여유분 100g과 꿀을 넣어주세요. 핸드믹서로 부드러운 크림 제형이 될 때까지 곱게 갈아 주세요. 완성된 생크림은 냉장고에 넣어 주세요.
(tip. 생크림의 농도를 확인하면서 우유 여유분을 조절해 주세요.)계란의 흰자와 노른자를 분리한 후, 흰자에 꿀을 넣고 핸드믹서로 머랭을 단단히 만들어주세요.코코넛오일과 락토프리 우유를 섞어 전자레인지에 20초 정도 데워주세요. 
(tip. 전자레인지 사양에 따라 시간을 조절해 주세요. 코코넛오일이 녹을 정도로만 데워주세요.)분리해 놓은 노른자와 섞어놓은 코코넛오일, 락토프리 우유를 섞어 주세요. 쌀가루 분말을 체에 내려 함께 섞어주세요. 흰자 머랭의 1/3 분량을 넣어 섞어준 후, 머랭이 꺼지지 않도록 나머지 분량을 모두 섞어 주세요. 깍둑 모양의 찐 단호박을 넣어 섞어주세요.케이크 틀에 유산지를 깔고 반죽을 부어주세요. 170도로 예열한 오븐에 25분간 구워주세요. 완성한 시트는 한 김 식혀 준비해 주세요.준비한 크림에 천연 분말을 넣어 원하는 색을 만들어주세요.
(노란색- 단호박가루, 검은색-오징어 먹물 가루, 분홍색- 비트 가루)케이크 박스 밑판 위에 만들어 둔 시트를 올리고 아이싱을 해주세요.강아지 얼굴과 문구 장식으로 완성해 주세요.케이크 12cm 기준으로 1회 급식은, 5kg대 강아지들은 케이크 크기의 1/4, 2~3kg대 강아지들은 케이크 크기의 1/6 정도 나눠 급여해 주세요.
(tip.처음 먹이는 간식은 소량만 급여해 알레르기 반응 여부를 확인해 주세요.)
(tip. 차가운 간식은 설사 및 구토를 유발할 수 있어, 급여 전 충분히 해동한 후 전자레인지에 5-10초 돌리거나, 실온에서 찬기를 제거한 후 급여해 주세요.)"
비건 베이글	"['강력분', '통밀가루', '소금', '황설탕', '드라이이스트 (골드)', '포도씨 오일', '물']"	"모든 재료를 저속으로 7분, 중속으로 6~7분간 믹싱해 주세요.
(tip. 반죽을 손으로 살살 늘렸을 때 잘 늘어나면 글루텐이 잘 형성된 것이에요)반죽을 둥글리기 하고 볼에 담아 면보를 씌운 후 30분간 1차 발효해 주세요. 
(tip. 온도는 25~26도가 적당해요)
(tip. 손가락에 덧밀가루를 묻혀서 테스트해 주세요)100g씩 나눈 후 둥글리기 하고 10분간 휴지 시켜 주세요.밀대로 밀어 가스를 빼고 길게 말아서 25cm 정도 길이로 만든 후 끝을 이어주세요.베이글 크기의 종이 포일을 깔고 베이글 반죽을 올린 후 30분간 2차 발효해 주세요.
(tip. 2차 발효 하는 동안 넓은 냄비에 끓는 물을 미리 준비해 주세요.)설탕 한 스푼을 넣고 끓인 물에 반죽을 한 면에 10~15초씩 데쳐주세요. 체로 건져낸 후 물기를 빼고 오븐 팬에 올려 190도로 예열한 오븐에서 15분간 구워주세요."
키토 피칸 파이	"['녹인 무염 버터', '달걀', '아몬드 가루', '차전자피 가루', '소금', '베이킹파우더', '에리스리톨 (알룰로스 가루, 라칸토로 대체 가능)', '볶은 피칸', '달걀노른자', '녹인 무염 버터', '바닐라 익스트랙', '브라운 스워브 (에리스리톨, 알룰로스 가루, 라칸토로 대체 가능)']"	"볼에 달걀과 에리스리톨을 넣고 섞어주세요. 가루류와 녹인버터를 넣고 주걱으로 섞어주세요.파이 틀에 반죽을 넣고 손으로 눌러 펼친 후 포크로 피케해 주세요. 
(tip. 포크로 찍는 작업은 피케라고 부르며 반죽의 수축을 막고 평평하게 익힐 수 있어요)
(tip. 파이지 바닥과 테두리의 두께가 일정하도록 정리해 주세요)170도로 예열한 오븐에서 10~15분 정도 구운 후 틀에서 꺼내 식혀주세요.
(오븐 성능에 따라 굽는 시간이 다를 수 있어요)버터, 브라운 스워브를 중탕볼에 넣고 녹여주세요.달걀노른자와 바닐라 익스트랙을 넣고 섞어주세요.파이지에 피칸을 넣고 필링을 채워주세요.170도에서 20분 정도 구워 주세요.
(오븐 성능에 따라 굽는 시간이 다를 수 있어요)"
통삼겹 크림파스타	"['스파게티 면', '통삼겹살', '양송이버섯', '아스파라거스', '양파', '마늘', '버터', '올리브유', '소금', '후춧가루', '파슬리 가루 (생략 가능)', '우유', '생크림', '파마산 치즈 가루', '치킨스톡 (고형)', '소금', '후춧가루', '소금', '후춧가루', '허브 가루']"	"양파는 채를 썰고 마늘은 편으로 썰어주세요. 양송이버섯은 슬라이스하고 아스파라거스는 밑동을 잘라내고 먹기 좋은 크기로 잘라주세요.
(tip. 필러로 아스파라거스 끝부분을 벗기면 더욱 부드러운 식감으로 드실 수 있어요)통삼겹살에 밑간 재료를 뿌려 밑간해주세요.끓는 물에 약간의 소금을 넣은 후 스파게티면을 넣어 7분 정도 삶은 후 체에 밭쳐 물기를 빼주세요.달군 팬에 통삼겹살을 넣어 앞뒤로 노릇하게 구운 후 약한불에서 속까지 충분히 익혀주세요.달군 팬에 버터를 두르고 마늘 편과 양파를 넣어 2분 정도 볶아주세요. 양송이버섯과 아스파라거스를 넣어 소금, 후춧가루로 간을 해 볶아주세요.크림소스 재료와 치킨스톡을 넣고 3분 정도 끓여주세요.크림소스에 스파게티면을 넣어 1~2분 정도 볶은 후 불을 꺼주세요.접시에 스파게티와 먹기 좋은 크기로 자른 구운 삼겹살을 담아 완성해 주세요. 파슬리와 파마산 치즈를 뿌려 맛있게 즐겨주세요.
(tip. 기호에 따라 마지막에 파마산 치즈를 추가로 뿌려 드시면 더욱 풍미가 좋고 진한 맛을 느끼실 수 있어요)"
새싹 샐러드 김밥	"['우엉', '당근', '새싹채소', '현미밥', '김밥용 김', '식용유', '소금', '참기름', '통깨', '간장', '맛술', '설탕', '올리고당', '물', '소금', '참기름']"	"깨끗이 씻은 우엉과 당근은 껍질을 얇게 벗긴 후 채칼이나 칼로 가늘게 채를 썰어주세요. 
(tip. 식촛물에 우엉을 1시간 정도 담가 두면 우엉의 아린 맛을 제거할 수 있어요) 
(채칼을 사용하여 채를 썰게 되면 더욱 간단하답니다)달군 팬에 오일을 약간 두른 후 당근에 소금을 살짝 뿌려 간을 해 볶아주세요.달군 팬에 오일을 약간 두른 후 우엉의 숨이 죽을 때까지 볶다가, 우엉 조림 재료를 넣어 물기가 없을 때까지 졸여주세요. 마지막에 참기름과 통깨를 살짝 뿌려주세요. 
(tip. 올리고당은 거의 다 졸여졌을 때 넣어야 더욱 윤기도 나면서 쫀득한 식감으로 만들 수 있어요)볼에 밥과 밥 양념 재료를 넣어 골고루 섞어주세요.김발에 김을 올리고 현미밥을 고르게 편 후 우엉, 당근, 새싹 채소를 올려 김밥을 말아주세요.적당한 크기로 잘라 맛있게 즐겨주세요."
낫또 김밥	"['시판 낫또', '우엉', '오이', '세발나물', '현미밥', '김밥용 김', '고추냉이', '간장', '맛술', '설탕', '올리고당', '물', '간장', '연겨자', '소금', '참기름']"	"깨끗이 씻은 우엉은 껍질을 얇게 벗긴 후 채칼이나 칼로 가늘게 채를 썰어주세요. 
(tip. 식촛물에 우엉을 1시간 정도 담가 두면 우엉의 아린 맛을 제거할 수 있어요) 
(채칼을 사용하여 채를 썰게 되면 더욱 간단하답니다)오이는 1cm 두께로 도톰하게 잘라주세요. 세발나물은 깨끗이 씻어 체에 밭쳐 물기를 빼주세요.달군 팬에 오일을 약간 두른 후 우엉의 숨이 죽을 때까지 볶다가, 우엉 조림 재료를 넣어 물기가 없을 때까지 졸여주세요. 마지막에 참기름과 통깨를 살짝 뿌려주세요. 
(tip. 올리고당은 거의 다 졸여졌을 때 넣어야 더욱 윤기도 나면서 쫀득한 식감으로 만들 수 있어요)낫또에 낫또 양념 재료를 넣어 골고루 섞어주세요.볼에 밥과 밥 양념 재료를 넣어 골고루 섞어주세요.김발에 김을 올리고 현미밥을 고르게 편 후 세발나물, 우엉, 오이, 낫또, 고추냉이를 적당량 올려 김밥을 말아주세요.적당한 크기로 잘라주세요.맛있게 즐겨주세요. 
(기호에 따라 김밥 위에 남은 낫또를 올린 후 쪽파와 깨 등을 올려 먹으면 더욱 비주얼도 좋고 맛있게 드실 수 있답니다)"
열무김치	"['열무', '얼갈이', '쪽파', '양파', '홍고추', '생강', '새우젓', '굵은 소금', '고춧가루', '참치액젓', '다진 마늘', '매실청', '소금', '밀가루', '디포리 다시마 육수']"	"얼갈이는 뿌리 부분을 잘라내고 2~3등분으로 잘라 주세요. 열무는 뿌리 끝부분을 자르고 긁어 다듬은 후 두꺼운 뿌리는 반으로 가르고 길이로 2~3등분으로 잘라 손질해 주세요.
(tip. 잎이 큰 얼갈이는 반으로 잘라 주세요)손질한 얼갈이와 열무는 물에 살살 흔들어 씻어 주세요. 굵은 소금을 뿌려 30분 정도 절이고 위아래로 뒤집어 20분 정도 더 절여 주세요. 물에 흔들어 씻어 채반에 밭쳐 물기를 빼주세요.
(tip. 열무는 씻을 때와 절일 때, 양념에 버무릴 때 살살 버무려야 풋내가 나지 않게 만들 수 있어요)냄비에 밀가루 풀 재료를 넣고 잘 섞어준 후 중불에서 저어가며 풀고 기포가 올라오면서 농도가 나면 불을 끄고 식혀주세요.양파는 큼직하게 썰고, 홍고추는 꼭지를 제거 후 송송 썰어주세요. 새우젓과 생강을 함께 블렌더에 넣어 굵게 갈아주세요. 쪽파는 5센티 길이로 썰어주세요.볼에 블렌더에서 간 재료와 식힌 밀가루 풀, 양념 재료를 넣고 고루 섞어 김치 양념장을 만들어주세요.양념을 절인 열무와 얼갈이, 쪽파에 넣고 숨이 살짝 죽으면 전체적으로 가볍게 섞어 김치통에 담아주세요. 상온에서 1~2일 정도 숙성시켰다가 냉장 보관해 주세요.
(tip. 열무와 얼갈이의 절여진 염도에 따라 마지막에 새우젓 국물 또는 소금을 가감해서 간을 맞춰주세요)"
