title,ingredients,recipe
마늘종장아찌 볶음밥,"['마늘종장아찌', '통조림 햄', '마늘', '밥', '달걀', '참기름', '후춧가루']","마늘종장아찌는 1cm 길이로 썰고, 통조림 햄은 잘게 썰고, 마늘은 납작 썰고,중간 불로 달군 팬에 식용유중간 불로 달군 팬에 식용유볶은 햄, 마늘종장아찌, 양념을 넣어 3분간 볶고,중간 불로 달군 팬에 식용유그릇에 볶음밥을 담고 달걀프라이를 얹어 마무리."
맛살볶음밥,"['대파', '맛살', '달걀', '밥', '소금', '맛술', '다진 마늘', '설탕', '멸치액젓', '간장', '후춧가루']","대파는 송송 썰고, 맛살은 잘게 찢고,달걀은 소금, 맛술약한 불로 달군 팬에 식용유설탕밥을 한쪽으로 옮긴 뒤 식용유밥과 스크램블드 에그를 고루 섞고 후춧가루를 뿌려 마무리."
앵그리볶음밥,"['양파', '빨간 파프리카', '베이컨', '밥', '김밥용 김', '슬라이스 모차렐라치즈', '슬라이스 체다치즈', '버터', '케첩', '굴소스', '올리고당']","양파, 파프리카는 다지고, 베이컨은 한입 크기로 썰고,중간 불로 달군 팬에 버터밥과 나머지 양념을 넣고 고루 섞어 3분간 볶아 꺼내고,김은 잘라 눈썹과 검은 눈동자를 만들고, 치즈를 잘라 눈과 입을 만들고,도시락통에 볶음밥을 펼쳐 담고 자른 재료로 장식해 마무리."
참치마요 볶음밥,"['양파', '대파', '통조림 참치', '밥', '당근', '간장', '마요네즈', '후춧가루', '참깨']","양파와 당근은 잘게 다지고, 대파는 송송 썰고,참치는 체에 밭쳐 기름을 제거하고,중간 불로 달군 팬에 참치 기름양파와 당근, 참치, 밥을 넣어 2분간 볶다가 간장마요네즈그릇에 담고 참깨"
새우볶음밥,"['마늘', '대파', '냉동 새우', '달걀물', '밥', '소금', '간장', '후춧가루']","마늘은 납작 썰고, 대파는 어슷 썰고,약한 불로 달군 팬에 식용유새우를 넣어 1분간 볶다가 한쪽으로 몰고, 달걀물을 부어 스크램블드 에그를 만들고,식용유양념해 마무리."
콜리플라워 볶음밥 & 아보카도 샐러드,"['베이컨', '양파', '아보카도', '콜리플라워 라이스', '다진 마늘', '후춧가루', '레몬즙']","베이컨과 양파는 잘게 다지고,아보카도는 반 갈라 씨를 제거한 뒤 껍질을 벗겨 1cm 두께로 썰고,드레싱을 만들고,중간 불로 달군 팬에 베이컨과 다진 마늘콜리플라워 라이스와 다진 양파를 넣어 5분간 더 볶은 뒤 후춧가루를 뿌리고,그릇에 콜리플라워 라이스와 아보카도를 담고 드레싱을 뿌려 마무리."
단호박 볶음밥,"['현미', '단호박', '견과류', '닭안심', '소금']","밥솥에 현미, 물단호박과 견과류는 잘게 다지고,닭안심도 잘게 다지고,중간 불로 달군 팬에 올리브유다진 단호박을 넣어 5분간 볶은 뒤 견과류를 넣어 2분간 더 볶고,현미밥과 소금"
크림볶음밥,"['대파', '양파', '청양고추', '다진 쇠고기', '밥', '생크림', '우유', '피자치즈', '설탕', '간장', '다진 마늘', '다진 생강', '참기름', '맛술', '후춧가루', '소금', '후춧가루']","대파는 송송 썰고, 양파와 청양고추는 굵게 다지고,쇠고기는 밑간에 버무리고,중간 불로 달군 팬에 식용유밑간한 쇠고기를 넣고 볶아 핏물이 사라지면 청양고추를 넣어 살짝 더 볶아 매운 향이 올라오면 밥을 고루 섞고,생크림과 우유를 붓고 눌어붙지 않게 저어가며 볶다가 소금고르게 밥을 펴고 피자치즈를 올려 뚜껑을 덮은 뒤 중약 불에서 치즈가 녹을 때까지 두어 마무리."
백김치볶음밥,"['대파', '백김치', '다진 돼지고기', '밥', '양파', '후춧가루', '간장', '다진 마늘', '굴소스', '참기름']","대파는 송송 썰고, 양파는 잘게 다지고, 백김치는 물기를 제거한 뒤 한입 크기로 잘게 썰고,다진 돼지고기는 밑간하고,중간 불로 달군 팬에 식용유송송 썬 대파와 다진 양파를 넣어 2분간 볶다가 밥, 백김치를 넣어 3분간 볶고,굴소스"
물만두 콩나물국밥,"['콩나물', '물만두', '밥', '양파', '홍고추', '김가루', '다시마', '국물용 멸치', '소금', '굴소스', '참깨']","양파는 채 썰고, 홍고추는 어슷 썰고,냄비에 물육수 재료를 건져낸 뒤 물만두, 소금홍고추를 넣어 20~30초간 끓인 뒤 불을 끄고,그릇에 밥 → 국 순서로 담고 김가루와 참깨를 뿌려 마무리."
삼겹살 장아찌김밥,"['밥', '삼겹살', '김밥용 김', '명이나물장아찌', '마늘종장아찌', '마늘', '대파', '청양고추', '참기름', '후춧가루', '쌈장 또는 고추장']","마늘은 납작 썰고, 대파는 채 썰고, 청양고추는 송송 썰고,밥은 참기름중간 불로 달군 팬에 삼겹살을 올려 후춧가루를 뿌린 뒤 앞뒤로 3분간 구워 키친타월에 밭쳐 기름을 제거하고,구운 삼겹살은 1cm 폭으로 썰고,김 위에 밥을 고르게 편 뒤 명이나물장아찌를 얹어 쌈장마늘종장아찌, 삼겹살, 손질한 채소를 얹고 돌돌 말아 마무리."
채소김밥,"['애호박', '양파', '당근', '김', '밥', '볶음용 멸치', '다진 마늘', '간장', '후춧가루', '참기름']","애호박, 양파, 당근은 잘게 다지고, 김은 4등분하고,중간 불로 달군 팬에 식용유다진 채소를 넣어 채소가 투명하게 익을 때까지 볶은 뒤 간장밥에 볶은 재료와 참기름김에 양념한 밥을 올린 뒤 김의 2/3부분까지 밥을 펼치고,돌돌 말아 3cm 길이로 썰어 마무리."
묵은지말이 참치김밥,"['통조림 참치', '묵은지', '밥', '소금', '참기름', '참깨', '마요네즈']","통조림 참치는 국물을 제거하고,묵은지는 물에 헹군 뒤 체에 밭쳐 물기를 제거하고,밥에 참치와 소금묵은지묵은지를 돌돌 말아 1cm 두께로 썰고,그릇에 담고 마요네즈"
햄버거 김밥,"['프랑크소시지', '슬라이스 체더치즈', '파프리카', '김밥용 김', '밥', '참기름', '청상추', '']","프랑크소시지는 길게 반 자르고, 슬라이스 체더치즈와 파프리카는 프랑크소시지의 너비에 맞게 길게 썰고,김밥용 김은 프랑크소시지 길이에 맞춰 가장자리를 자르고,밥은 참기름김밥용 김김밥용 김김밥 위에 참기름"
지단 김밥,"['당근', '오이', '햄', '달걀', '단무지', '우엉조림', '김', '소금', '참기름', '참깨']","당근과 오이는 얇게 채 썰고, 햄은 낱낱이 가르고,달걀은 소금중약 불로 달군 팬에 식용유를 조금씩 둘러가며 달걀물을 6번에 나눠 얇게 부친 뒤 얇게 채 썰고,중간 불로 달군 팬에 식용유김발에 김을 올리고 달걀채김밥을 말아 참기름"
돈가스 김밥 샌드위치,"['당근', '피망', '통단무지', '돈가스', '밥', '김', '깻잎', '소금', '참기름', '돈가스소스']","당근과 피망, 통단무지는 얇게 채 썰고,중간 불로 달군 팬에 식용유180℃로 달군 식용유밥에 소금마름모 모양으로 김을 두고 김 중앙에 밥네 모서리의 김을 접어 감싸고 2등분해 마무리."
